Code,Country,Discipline,Event,Gender,Medal,Name,NOC,Rank,Sport,Age,F1
1353870,Brazil,VVO,Women Team,Female,Silver,MONTIBELLER Rosamaria,BRA,2,Volleyball,27,9001
1312770,United States,SRF,Women,Female,Gold,MOORE Carissa,USA,1,Surfing,28,9011
1301999,Mexico,FBL,Men Team,Male,Bronze,MORA Adrian,MEX,3,Football,23,9021
1332164,United States,FBL,Women Team,Female,Bronze,MORGAN Alex,USA,3,Football,32,9043
1467537,Great Britain,GAR,Women's Team,Female,Bronze,MORGAN Amelie,GBR,3,Artistic Gymnastics,18,9049
1313726,Japan,BSB,Softball Team,Female,Gold,MORI Sayaka,JPN,1,Baseball/Softball,32,9058
1336385,Japan,BSB,Baseball Team,Male,Gold,MORISHITA Masato,JPN,1,Baseball/Softball,23,9061
1366657,Denmark,CTR,Men's Team Pursuit Team,Male,Silver,MORKOV Michael,DEN,2,Cycling Track,36,9063
1366657,Denmark,CTR,Men's Madison Team,Male,Gold,MORKOV Michael,DEN,1,Cycling Track,36,9064
1348966,Australia,ROW,Women's Four Team,Female,Gold,MORRISON Jessica,AUS,1,Rowing,29,9072
1412283,Jamaica,ATH,Women's 4 x 100m Relay Team,Female,Gold,MORRISON Natasha,JAM,1,Athletics,28,9073
1314311,Spain,HBL,Men Team,Male,Bronze,MORROS de ARGILA Viran,ESP,3,Handball,37,9074
1380756,Colombia,WLF,Men's 67kg,Male,Silver,MOSQUERA LOZANO Luis Javier,COL,2,Weightlifting,26,9084
1313621,Japan,BKB,Women Team,Female,Silver,MOTOHASHI Nako,JPN,2,Basketball,27,9087
1310077,United States,BSB,Softball Team,Female,Silver,MOULTRIE Michelle,USA,2,Baseball/Softball,31,9092
1466631,Greece,WPO,Men Team,Male,Silver,MOURIKIS Konstantinos,GRE,2,Water Polo,33,9096
1363228,United States,ATH,Women's 800m,Female,Gold,MU Athing,USA,1,Athletics,19,9115
1363228,United States,ATH,Women's 4 x 400m Relay Team,Female,Gold,MU Athing,USA,1,Athletics,19,9116
1453236,United States,ATH,Women's 400m Hurdles,Female,Silver,MUHAMMAD Dalilah,USA,2,Athletics,31,9133
1453236,United States,ATH,Women's 4 x 400m Relay Team,Female,Gold,MUHAMMAD Dalilah,USA,1,Athletics,31,9134
1477800,Great Britain,ATH,Women's 1500m,Female,Silver,MUIR Laura,GBR,2,Athletics,28,9139
1315339,Japan,JUD,Mixed Team,Male,Silver,MUKAI Shoichiro,JPN,2,Judo,25,9142
1316578,Japan,WRE,Women's Freestyle 53kg,Female,Gold,MUKAIDA Mayu,JPN,1,Wrestling,24,9143
1283099,Israel,JUD,Mixed Team,Male,Bronze,MUKI Sagi,ISR,3,Judo,29,9148
1310026,United States,BSB,Softball Team,Female,Silver,MULIPOLA Dejah,USA,2,Baseball/Softball,23,9157
1326832,Mongolia,JUD,Women -48 kg,Female,Bronze,MUNKHBAT Urantsetseg,MGL,3,Judo,31,9176
1310002,United States,BSB,Softball Team,Female,Silver,MUNRO Aubree,USA,2,Baseball/Softball,27,9189
1319115,Japan,GAR,Women's Floor Exercise,Female,Bronze,MURAKAMI Mai,JPN,3,Artistic Gymnastics,25,9201
1336408,Japan,BSB,Baseball Team,Male,Gold,MURAKAMI Munetaka,JPN,1,Baseball/Softball,21,9204
1302446,United States,SWM,Men's 100m Backstroke,Male,Bronze,MURPHY Ryan,USA,3,Swimming,26,9221
1302446,United States,SWM,Men's 200m Backstroke,Male,Silver,MURPHY Ryan,USA,2,Swimming,26,9222
1302446,United States,SWM,Men's 4 x 100m Medley Relay Team,Male,Gold,MURPHY Ryan,USA,1,Swimming,26,9223
1462956,New Zealand,ROW,Men's Eight Team,Male,Gold,MURRAY Tom,NZL,1,Rowing,27,9227
1360599,Ireland,ROW,Women's Four Team,Female,Bronze,MURTAGH Fiona,IRL,3,Rowing,26,9228
1449722,Sweden,FBL,Women Team,Female,Silver,MUSOVIC Zecira,SWE,2,Football,25,9244
1320550,United States,WPO,Women Team,Female,Gold,MUSSELMAN Madeline,USA,1,Water Polo,23,9247
1313432,Japan,ARC,Men's Team,Male,Bronze,MUTO Hiroki,JPN,3,Archery,24,9252
1428166,Russia,FEN,Men's Foil Team,Male,Silver,MYLNIKOV Vladislav,ROC,2,Fencing,20,9265
1387294,Slovakia,CSP,Men's Kayak Four 500m Team,Male,Bronze,MYSAK Denis,SVK,3,Canoe Sprint,25,9267
1282477,Fiji,RUG,Men Team,Male,Gold,NACUQU Waisea,FIJ,1,Rugby Sevens,28,9274
1332174,United States,FBL,Women Team,Female,Bronze,NAEHER Alyssa,USA,3,Football,33,9280
1313623,Japan,BKB,Women Team,Female,Silver,NAGAOKA Moeko,JPN,2,Basketball,27,9289
1282516,Fiji,RUG,Women Team,Female,Bronze,NAGASAU Rusila,FIJ,3,Rugby Sevens,34,9291
1315342,Japan,JUD,Men -81 kg,Male,Gold,NAGASE Takanori,JPN,1,Judo,27,9292
1315342,Japan,JUD,Mixed Team,Male,Silver,NAGASE Takanori,JPN,2,Judo,27,9293
1476235,Netherlands,ATH,Men's Marathon,Male,Silver,NAGEEYE Abdi,NED,2,Athletics,32,9297
1458399,United States,ATH,Women's Pole Vault,Female,Gold,NAGEOTTE Katie,USA,1,Athletics,30,9298
1406257,Russia,GAR,Men's All-Around,Male,Bronze,NAGORNYY Nikita,ROC,3,Artistic Gymnastics,24,9301
1406257,Russia,GAR,Men's Horizontal Bar,Male,Bronze,NAGORNYY Nikita,ROC,3,Artistic Gymnastics,24,9307
1406257,Russia,GAR,Men's Team,Male,Gold,NAGORNYY Nikita,ROC,1,Artistic Gymnastics,24,9308
1364575,Hungary,WPO,Men Team,Male,Bronze,NAGY Viktor,HUN,3,Water Polo,37,9312
1436301,Russia,WRE,Men's Freestyle 86kg,Male,Bronze,NAIFONOV Artur,ROC,3,Wrestling,24,9313
1282527,Fiji,RUG,Women Team,Female,Bronze,NAIMASI Ana Maria,FIJ,3,Rugby Sevens,27,9314
1313722,Japan,BSB,Softball Team,Female,Gold,NAITO Minori,JPN,1,Baseball/Softball,27,9315
1317117,Poland,CSP,Women's Kayak Double 500m Team,Female,Silver,NAJA Karolina,POL,2,Canoe Sprint,31,9316
1317117,Poland,CSP,Women's Kayak Four 500m Team,Female,Bronze,NAJA Karolina,POL,3,Canoe Sprint,31,9317
1315686,Japan,SKB,Women's Street,Female,Bronze,NAKAYAMA Funa,JPN,3,Skateboarding,16,9331
1283984,Fiji,RUG,Women Team,Female,Bronze,NAKOCI Alowesi,FIJ,3,Rugby Sevens,29,9335
1316675,Japan,BOX,Women's Fly (48-51kg),Female,Bronze,NAMIKI Tsukimi,JPN,3,Boxing,22,9344
1473841,New Zealand,RUG,Men Team,Male,Silver,NANAI-SETURO Etene,NZL,2,Rugby Sevens,21,9347
1330678,Ukraine,WRE,Men's Greco-Roman 67kg,Male,Silver,NASIBOV Parviz,UKR,2,Wrestling,22,9364
1282484,Fiji,RUG,Men Team,Male,Gold,NASOKO Kalione,FIJ,1,Rugby Sevens,30,9366
1473842,New Zealand,RUG,Women Team,Female,Gold,NATHAN-WONG Tyla,NZL,1,Rugby Sevens,27,9374
1312457,Italy,FEN,Women's Épée Team,Female,Bronze,NAVARRIA Mara,ITA,3,Fencing,36,9382
1742375,Botswana,ATH,Men's 4 x 400m Relay Team,Male,Bronze,NDORI Bayapo,BOT,3,Athletics,22,9402
1482874,Australia,SWM,Women's 4 x 200m Freestyle Relay Team,Female,Bronze,NEALE Leah,AUS,3,Swimming,26,9409
1289285,Belarus,ATH,Men's High Jump,Male,Bronze,NEDASEKAU Maksim,BLR,3,Athletics,23,9412
1466043,Switzerland,MTB,Women's Cross-country,Female,Gold,NEFF Jolanda,SUI,1,Cycling Mountain Bike,28,9414
1482918,Australia,SWM,Men's 4 x 200m Freestyle Relay Team,Male,Bronze,NEILL Thomas,AUS,3,Swimming,19,9421
1400613,France,RUG,Women Team,Female,Silver,NEISEN Carla,FRA,2,Rugby Sevens,25,9422
1477805,Great Britain,ATH,Women's 4 x 100m Relay Team,Female,Bronze,NEITA Daryll,GBR,3,Athletics,24,9424
1477806,Great Britain,ATH,Women's 4 x 100m Relay Team,Female,Bronze,NELSON Ashleigh,GBR,3,Athletics,30,9432
1283123,Israel,JUD,Mixed Team,Female,Bronze,NELSON LEVY Timna,ISR,3,Judo,27,9434
1413336,Italy,ARC,Men's Individual,Male,Silver,NESPOLI Mauro,ITA,2,Archery,33,9449
1320532,United States,WPO,Women Team,Female,Gold,NEUSHUL Jamie,USA,1,Water Polo,26,9454
1473843,New Zealand,RUG,Men Team,Male,Silver,NG SHIU Tone,NZL,2,Rugby Sevens,27,9462
1340623,France,VVO,Men Team,Male,Gold,NGAPETH Earvin,FRA,1,Volleyball,30,9464
1352876,Botswana,ATH,Men's 4 x 400m Relay Team,Male,Bronze,NGOZI Zibane,BOT,3,Athletics,28,9468
1350434,France,HBL,Men Team,Male,Gold,NGUESSAN Timothey,FRA,1,Handball,28,9469
1439961,France,HBL,Women Team,Female,Gold,NIAKATE Kalidiatou,FRA,1,Handball,26,9486
1310078,United States,BSB,Softball Team,Female,Silver,NICKLES Bubba,USA,2,Baseball/Softball,23,9493
1473844,New Zealand,RUG,Men Team,Male,Silver,NICOLE Amanaki,NZL,2,Rugby Sevens,29,9496
1428154,Russia,FEN,Women's Sabre Team,Female,Gold,NIKITINA Olga,ROC,1,Fencing,22,9525
1319859,Bulgaria,WRE,Women's Freestyle 57kg,Female,Bronze,NIKOLOVA Evelina Georgieva,BUL,3,Wrestling,28,9529
1453116,United States,ATH,Men's Pole Vault,Male,Silver,NILSEN Christopher,USA,2,Athletics,23,9531
1351613,Brazil,FBL,Men Team,Male,Gold,NINO,BRA,1,Football,24,9536
1315689,Japan,SKB,Women's Street,Female,Gold,NISHIYA Momiji,JPN,1,Skateboarding,13,9550
